codigoConcepto,claseConcepto,valor
1,1,238167973
11,1,585857
1101,1,585857
110101,1,407795
110104,1,178062
13,1,6383292
1314,1,6839292
131401,1,4289292
131401,1,2094000
15,1,231198824
1501,1,282493692
150124,1,10949685
150138,1,271544007
1503,1,-51294868
150305,1,-51294868
2,1,178936076
21,1,150336477
2105,1,4164588
210501,1,4164588
2109,1,0
210901,1,0
2120,1,18926559
212016,1,18926559
2127,1,16610330
212702,1,16610330
2133,1,110635000
213301,1,110635000
22,1,1276048
2201,1,1276048
220101,1,18160
220105,1,23250
220108,1,541430
220114,1,401827
220116,1,291381
23,1,20971834
2301,1,20971834
230102,1,8396880
230103,1,1007627
230104,1,8346127
230406,1,0
230110,1,66600
230120,1,2136200
230121,1,509200
230122,1,509200
25,1,6351717
2501,1,6351717
250101,1,6351717
3,3,59231897
31,3,50000000
3103,3,50000000
310301,3,50000000
33,3,1751232
3301,3,1751232
330101,3,1751232
35,3,7480665
3501,3,44202269
350101,3,44202269
3502,3,-36818051
350201,3,57997289
350204,3,-94815340
3503,3,96447
350305,3,96447
4,3,544764808
41,3,536127479
4101,3,536127479
410108,3,536127479
42,3,8637329
4214,3,8637329
421402,3,8633000
421414,3,4329
5,3,284081934
51,3,8709072
5107,3,6356000
510706,3,6356000
5114,3,2353072
511402,3,1905800
511406,3,447272
52,3,226784979
5201,3,102787552
520101,3,99157471
520108,3,3630081
5203,3,16424000
520301,3,557400
520303,3,11897900
520304,3,3968700
5205,3,22307446
520501,3,8573544
520502,3,1028827
520503,3,4134887
520505,3,8570188
5208,3,581000
520801,3,581000
5213,3,52214360
521301,3,22528625
521302,3,1605651
521305,3,2248785
521306,3,3538200
521307,3,13677446
521308,3,2992860
521310,3,1389373
521313,3,4233420
5215,3,1865500
521505,3,1865500
5218,3,22617437
521805,3,22617437
5236,3,7987684
523604,3,5987013
523614,3,2000671
53,3,4385214
5301,3,4385214
530101,3,1741202
530102,3,817137
530103,3,1821022
530106,3,5853
56,3,44202669
5601,3,44202669
560101,3,44202669
6,3,260682874
61,3,260682874
6101,3,260682874
610102,3,260682874
